ダウンロードした時刻：2024/10/14 14:28:00

,網走,網走,網走,網走,網走,網走,東京,東京,東京,東京,東京,東京,大阪,大阪,大阪,大阪,大阪,大阪,福岡,福岡,福岡,福岡,福岡,福岡
2023/10/30,11.5,8,1,5.4,8,1,22.3,8,1,11.6,8,1,21.0,8,1,12.9,8,1,22.1,8,1,11.0,8,1
2023/10/31,15.9,8,1,6.3,8,1,20.9,8,1,13.5,8,1,23.1,8,1,13.5,8,1,23.0,8,1,11.4,8,1
2023/11/1,18.4,8,1,7.6,8,1,23.1,8,1,13.1,8,1,22.8,8,1,12.4,8,1,25.3,8,1,13.9,8,1
2023/11/2,12.8,8,1,6.0,8,1,24.9,8,1,13.0,8,1,24.7,8,1,13.7,8,1,26.9,8,1,15.3,8,1
2023/11/3,19.3,8,1,5.9,8,1,24.3,8,1,14.3,8,1,24.8,8,1,14.4,8,1,27.2,8,1,16.2,8,1
2023/11/4,12.0,8,1,4.0,8,1,26.3,8,1,14.4,8,1,25.6,8,1,15.4,8,1,25.4,8,1,18.1,8,1
2023/11/5,10.0,8,1,1.9,8,1,23.7,8,1,17.6,8,1,27.9,8,1,16.5,8,1,29.3,8,1,17.3,8,1
2023/11/6,16.6,8,1,7.5,8,1,25.1,8,1,18.0,8,1,27.3,8,1,19.9,8,1,24.9,8,1,18.4,8,1
2023/11/7,18.1,8,1,8.7,8,1,27.5,8,1,17.0,8,1,23.8,8,1,15.8,8,1,19.6,8,1,13.5,8,1
2023/11/8,10.3,8,1,5.3,8,1,21.6,8,1,14.6,8,1,22.2,8,1,12.7,8,1,20.9,8,1,11.4,8,1
2023/11/9,11.7,8,1,6.2,8,1,21.0,8,1,13.4,8,1,24.1,8,1,14.3,8,1,24.8,8,1,15.4,8,1
2023/11/10,18.2,8,1,5.8,8,1,17.7,8,1,13.5,8,1,19.0,8,1,16.8,8,1,20.8,8,1,15.9,8,1
2023/11/11,6.1,8,1,0.3,8,1,15.9,8,1,11.3,8,1,16.8,8,1,11.0,8,1,20.5,8,1,14.5,8,1
2023/11/12,6.8,8,1,-2.1,8,1,11.7,8,1,8.0,8,1,15.0,8,1,10.8,8,1,16.2,8,1,10.0,8,1
2023/11/13,5.7,8,1,-1.9,8,1,15.6,8,1,7.9,8,1,12.6,8,1,6.8,8,1,14.1,8,1,7.9,8,1
2023/11/14,4.5,8,1,-0.3,8,1,18.3,8,1,5.9,8,1,16.5,8,1,6.7,8,1,17.6,8,1,7.0,8,1
2023/11/15,6.4,8,1,-0.2,8,1,14.3,8,1,9.8,8,1,17.8,8,1,8.3,8,1,16.9,8,1,9.4,8,1
2023/11/16,10.3,8,1,2.4,8,1,17.6,8,1,7.8,8,1,18.3,8,1,8.5,8,1,15.8,8,1,8.5,8,1
2023/11/17,11.9,8,1,4.0,8,1,13.6,8,1,9.8,8,1,17.2,8,1,10.4,8,1,14.2,8,1,7.9,8,1
2023/11/18,15.5,8,1,4.0,8,1,17.6,8,1,7.4,8,1,12.4,8,1,7.2,8,1,11.8,8,1,6.1,8,1
2023/11/19,10.9,8,1,3.3,8,1,19.4,8,1,5.9,8,1,16.1,8,1,10.5,8,1,16.7,8,1,9.6,8,1
2023/11/20,8.4,8,1,3.2,8,1,18.0,8,1,7.5,8,1,17.8,8,1,9.4,8,1,18.3,8,1,9.6,8,1
2023/11/21,11.8,8,1,1.2,8,1,17.6,8,1,6.7,8,1,17.3,8,1,6.5,8,1,19.4,8,1,7.3,8,1
2023/11/22,10.2,8,1,4.3,8,1,19.5,8,1,7.4,8,1,19.4,8,1,7.5,8,1,22.1,8,1,10.6,8,1
2023/11/23,17.0,8,1,4.9,8,1,21.2,8,1,9.8,8,1,20.1,8,1,8.9,8,1,23.6,8,1,14.0,8,1
2023/11/24,10.4,8,1,-1.7,8,1,24.2,8,1,10.6,8,1,19.3,8,1,8.9,8,1,17.8,8,1,9.9,8,1
2023/11/25,-1.3,8,1,-6.3,8,1,13.5,8,1,8.4,8,1,14.1,8,1,7.4,8,1,14.1,8,1,7.2,8,1
2023/11/26,1.3,8,1,-5.6,8,1,9.5,8,1,5.3,8,1,14.0,8,1,5.2,8,1,16.9,8,1,6.1,8,1
2023/11/27,3.0,8,1,-4.2,8,1,15.7,8,1,7.4,8,1,13.5,8,1,6.2,8,1,19.9,8,1,8.1,8,1
2023/11/28,9.3,8,1,-0.1,8,1,22.5,8,1,8.6,8,1,17.4,8,1,10.2,8,1,15.7,8,1,9.7,8,1
2023/11/29,2.6,8,1,-4.0,8,1,17.6,8,1,6.6,8,1,15.1,8,1,6.4,8,1,14.4,8,1,10.0,8,1
2023/11/30,0.5,8,1,-6.6,8,1,16.8,8,1,7.9,8,1,14.9,8,1,7.7,8,1,13.0,8,1,7.7,8,1
2023/12/1,-0.5,8,1,-7.5,8,1,12.6,8,1,6.4,8,1,12.8,8,1,5.5,8,1,9.6,8,1,7.5,8,1
2023/12/2,2.3,8,1,-7.1,8,1,13.1,8,1,4.1,8,1,13.4,8,1,4.2,8,1,11.6,8,1,6.5,8,1
2023/12/3,3.3,8,1,-1.5,8,1,15.2,8,1,4.1,8,1,14.0,8,1,5.9,8,1,13.5,8,1,6.5,8,1
2023/12/4,6.7,8,1,-2.3,8,1,14.3,8,1,4.7,8,1,13.8,8,1,4.2,8,1,15.3,8,1,6.0,8,1
2023/12/5,8.7,8,1,-1.9,8,1,10.3,8,1,5.7,8,1,10.5,8,1,6.4,8,1,16.0,8,1,8.4,8,1
2023/12/6,8.9,8,1,-1.5,8,1,16.4,8,1,7.1,8,1,15.2,8,1,7.7,8,1,16.8,8,1,8.5,8,1
2023/12/7,10.9,8,1,1.1,8,1,19.9,8,1,7.1,8,1,16.2,8,1,7.3,8,1,15.2,8,1,7.3,8,1
2023/12/8,5.7,8,1,-0.7,8,1,17.8,8,1,6.0,8,1,16.1,8,1,5.6,8,1,18.5,8,1,5.6,8,1
2023/12/9,11.2,8,1,-0.9,8,1,17.2,8,1,6.4,8,1,19.0,8,1,8.6,8,1,22.2,8,1,11.2,8,1
2023/12/10,7.9,8,1,-2.6,8,1,19.7,8,1,7.2,8,1,19.6,8,1,8.9,8,1,22.8,8,1,11.6,8,1
2023/12/11,0.5,8,1,-5.1,8,1,16.0,8,1,11.3,8,1,18.2,8,1,12.6,8,1,19.2,8,1,14.3,8,1
2023/12/12,-0.7,8,1,-4.9,8,1,15.4,8,1,9.7,8,1,17.3,8,1,11.8,8,1,19.1,8,1,12.6,8,1
2023/12/13,-1.3,8,1,-6.2,8,1,15.1,8,1,7.3,8,1,15.3,8,1,8.4,8,1,17.0,8,1,11.0,8,1
2023/12/14,-2.8,8,1,-6.3,8,1,14.1,8,1,6.5,8,1,16.0,8,1,6.5,8,1,17.3,8,1,11.5,8,1
2023/12/15,-1.5,8,1,-6.8,8,1,20.2,8,1,7.1,8,1,19.5,8,1,10.6,8,1,23.7,8,1,15.5,8,1
2023/12/16,1.2,8,1,-5.4,8,1,21.1,8,1,10.8,8,1,21.0,8,1,10.3,8,1,15.6,8,1,6.4,8,1
2023/12/17,1.6,8,1,-4.2,8,1,17.2,8,1,5.9,8,1,10.3,8,1,2.8,8,1,6.6,8,1,3.0,8,1
2023/12/18,-3.7,5,1,-9.5,5,1,11.5,8,1,3.8,8,1,9.6,8,1,1.8,8,1,5.4,8,1,2.8,8,1
2023/12/19,-4.3,8,1,-12.1,8,1,10.6,8,1,3.4,8,1,9.6,8,1,4.4,8,1,7.3,8,1,3.6,8,1
2023/12/20,-1.0,8,1,-7.5,8,1,13.5,8,1,4.6,8,1,11.8,8,1,4.4,8,1,10.0,8,1,3.4,8,1
2023/12/21,-1.7,8,1,-9.4,8,1,13.1,8,1,3.3,8,1,7.2,8,1,1.9,8,1,3.7,8,1,1.2,8,1
2023/12/22,-2.1,8,1,-8.6,8,1,10.1,8,1,1.5,8,1,6.2,8,1,1.2,8,1,4.3,8,1,1.5,8,1
2023/12/23,-3.4,8,1,-10.9,8,1,10.6,8,1,0.1,8,1,8.7,8,1,-0.2,8,1,6.1,8,1,1.3,8,1
2023/12/24,-4.1,8,1,-12.0,8,1,8.8,8,1,2.0,8,1,9.9,8,1,1.7,8,1,7.2,8,1,2.7,8,1
2023/12/25,0.5,8,1,-5.8,8,1,12.1,8,1,1.0,8,1,11.0,8,1,2.9,8,1,8.7,8,1,4.9,8,1
2023/12/26,0.5,8,1,-4.4,8,1,13.2,8,1,2.6,8,1,10.3,8,1,1.9,8,1,10.9,8,1,5.1,8,1
2023/12/27,-2.1,8,1,-6.5,8,1,12.6,8,1,4.3,8,1,13.5,8,1,5.4,8,1,14.2,8,1,5.8,8,1
2023/12/28,-2.9,8,1,-8.9,8,1,10.8,8,1,4.4,8,1,14.0,8,1,4.0,8,1,15.5,8,1,4.6,8,1
2023/12/29,-1.8,8,1,-5.2,8,1,13.8,8,1,2.2,8,1,13.0,8,1,5.5,8,1,15.0,8,1,5.7,8,1
2023/12/30,-1.5,8,1,-5.6,8,1,14.4,8,1,4.4,8,1,14.2,8,1,3.5,8,1,14.9,8,1,5.4,8,1
2023/12/31,-3.5,8,1,-5.6,8,1,12.7,8,1,5.8,8,1,13.9,8,1,8.9,8,1,13.9,8,1,9.7,8,1
2024/1/1,-5.4,8,1,-9.9,8,1,12.5,8,1,4.4,8,1,11.2,8,1,4.7,8,1,12.2,8,1,5.4,8,1
2024/1/2,3.2,8,1,-11.6,8,1,9.2,8,1,2.8,8,1,11.8,8,1,2.5,8,1,14.3,8,1,3.9,8,1
2024/1/3,-0.8,8,1,-5.3,8,1,11.0,8,1,2.8,8,1,12.2,8,1,4.5,8,1,10.8,8,1,6.9,8,1
2024/1/4,-1.2,8,1,-8.0,8,1,15.3,8,1,6.3,8,1,12.2,8,1,5.3,8,1,11.5,8,1,4.6,8,1
2024/1/5,2.7,8,1,-10.4,8,1,13.6,8,1,2.9,8,1,13.5,8,1,3.0,8,1,14.8,8,1,3.6,8,1
2024/1/6,1.4,8,1,-3.7,8,1,15.6,8,1,3.0,8,1,14.4,8,1,4.5,8,1,14.2,8,1,5.8,8,1
2024/1/7,-1.0,8,1,-5.3,8,1,12.7,8,1,5.7,8,1,11.0,8,1,3.6,8,1,9.5,8,1,4.4,8,1
2024/1/8,-1.1,8,1,-8.1,8,1,10.2,8,1,2.7,8,1,8.4,8,1,0.9,8,1,8.8,8,1,4.0,8,1
2024/1/9,1.4,8,1,-9.1,8,1,11.0,8,1,1.5,8,1,10.4,8,1,1.1,8,1,12.3,8,1,3.0,8,1
2024/1/10,-3.7,8,1,-10.7,8,1,12.3,8,1,1.7,8,1,8.8,8,1,3.3,8,1,11.4,8,1,7.8,8,1
2024/1/11,-3.2,8,1,-13.5,8,1,7.2,8,1,1.8,8,1,10.8,8,1,4.7,8,1,13.4,8,1,5.5,8,1
2024/1/12,2.4,8,1,-5.3,8,1,13.7,8,1,0.1,8,1,12.9,8,1,2.7,8,1,13.6,8,1,7.5,8,1
2024/1/13,-4.1,8,1,-6.9,8,1,11.7,8,1,1.2,8,1,12.0,8,1,3.0,8,1,12.5,8,1,4.6,8,1
2024/1/14,-2.8,8,1,-11.3,8,1,10.5,8,1,0.2,8,1,9.8,8,1,1.0,8,1,13.7,8,1,2.9,8,1
2024/1/15,-2.6,8,1,-8.4,8,1,11.4,8,1,2.4,8,1,9.4,8,1,3.9,8,1,13.3,8,1,7.1,8,1
2024/1/16,-7.6,8,1,-12.7,8,1,7.0,8,1,0.0,8,1,7.9,8,1,2.8,8,1,12.8,8,1,4.6,8,1
2024/1/17,-1.2,8,1,-12.1,8,1,12.2,8,1,0.8,8,1,11.6,8,1,1.1,8,1,16.8,8,1,3.9,8,1
2024/1/18,-1.0,8,1,-9.5,8,1,13.4,8,1,2.5,8,1,9.7,8,1,7.3,8,1,16.8,8,1,12.5,8,1
2024/1/19,-2.6,8,1,-10.3,8,1,15.1,8,1,7.6,8,1,12.9,8,1,7.2,8,1,13.1,8,1,10.6,8,1
2024/1/20,-5.8,8,1,-15.0,8,1,7.6,8,1,4.6,8,1,12.1,8,1,5.6,8,1,11.5,8,1,9.6,8,1
2024/1/21,-5.0,8,1,-15.7,8,1,12.1,8,1,4.6,8,1,13.4,8,1,8.9,8,1,12.9,8,1,8.4,8,1
2024/1/22,-2.8,8,1,-6.8,8,1,14.6,8,1,6.7,8,1,13.2,8,1,7.0,8,1,9.2,8,1,3.9,8,1
2024/1/23,-0.9,8,1,-5.4,8,1,13.9,8,1,5.5,8,1,8.5,8,1,1.5,8,1,4.1,8,1,0.2,8,1
2024/1/24,-0.7,8,1,-7.8,8,1,8.4,8,1,1.1,8,1,6.8,8,1,0.3,8,1,5.7,8,1,0.6,8,1
2024/1/25,-2.9,8,1,-6.0,8,1,9.6,8,1,-1.1,8,1,6.3,8,1,0.1,8,1,7.4,8,1,3.3,8,1
2024/1/26,-1.5,8,1,-3.8,8,1,12.0,8,1,1.8,8,1,7.4,8,1,3.2,8,1,9.8,8,1,1.4,8,1
2024/1/27,-2.1,8,1,-3.2,8,1,12.2,8,1,2.9,8,1,10.0,8,1,4.2,8,1,10.7,8,1,2.3,8,1
2024/1/28,-0.8,8,1,-2.7,8,1,9.6,8,1,2.8,8,1,11.3,8,1,2.6,8,1,8.7,8,1,3.6,8,1
2024/1/29,0.5,8,1,-3.5,8,1,11.9,8,1,2.4,8,1,11.3,8,1,2.7,8,1,11.6,8,1,1.8,8,1
2024/1/30,1.3,8,1,-5.6,8,1,13.3,8,1,4.0,8,1,13.2,8,1,2.1,8,1,11.3,8,1,3.5,8,1
2024/1/31,-0.3,8,1,-6.8,8,1,14.1,8,1,2.7,8,1,11.4,8,1,6.7,8,1,11.2,8,1,8.1,8,1
2024/2/1,-2.0,8,1,-10.6,8,1,16.3,8,1,5.0,8,1,11.6,8,1,4.1,8,1,12.3,8,1,9.6,8,1
2024/2/2,-7.7,8,1,-13.4,8,1,7.6,8,1,3.3,8,1,8.9,8,1,2.9,8,1,12.1,8,1,8.0,8,1
2024/2/3,-6.3,8,1,-12.3,8,1,11.7,8,1,3.4,8,1,10.2,8,1,4.4,8,1,8.1,8,1,5.7,8,1
2024/2/4,-4.5,8,1,-10.9,8,1,6.9,8,1,2.6,8,1,10.9,8,1,3.5,8,1,12.6,8,1,6.2,8,1
2024/2/5,-7.8,8,1,-13.6,8,1,6.2,8,1,0.3,8,1,6.5,8,1,3.6,8,1,10.7,8,1,6.8,8,1
2024/2/6,-6.3,8,1,-13.9,8,1,5.4,8,1,0.8,8,1,10.7,8,1,5.3,8,1,12.3,8,1,6.3,8,1
2024/2/7,-5.8,8,1,-13.3,8,1,9.6,8,1,-0.1,8,1,11.2,8,1,2.0,8,1,9.8,8,1,5.2,8,1
2024/2/8,1.1,5,1,-13.6,5,1,11.3,8,1,1.2,8,1,9.7,8,1,2.7,8,1,12.2,8,1,3.2,8,1
2024/2/9,-4.9,8,1,-9.4,8,1,11.3,8,1,2.5,8,1,11.5,8,1,3.6,8,1,12.3,8,1,3.4,8,1
2024/2/10,-4.2,8,1,-9.3,8,1,12.4,8,1,1.8,8,1,11.8,8,1,2.4,8,1,11.2,8,1,5.3,8,1
2024/2/11,-3.9,8,1,-9.2,8,1,12.8,8,1,4.3,8,1,10.0,8,1,3.8,8,1,11.2,8,1,4.7,8,1
2024/2/12,-0.7,8,1,-10.7,8,1,12.7,8,1,3.6,8,1,12.4,8,1,3.8,8,1,13.0,8,1,4.9,8,1
2024/2/13,9.2,8,1,-4.8,8,1,17.3,8,1,1.6,8,1,15.8,8,1,2.8,8,1,17.5,8,1,4.8,8,1
2024/2/14,10.3,8,1,-2.4,8,1,18.5,8,1,4.2,8,1,19.1,8,1,6.3,8,1,20.4,8,1,11.2,8,1
2024/2/15,1.0,8,1,-3.3,8,1,21.1,8,1,6.1,8,1,18.0,8,1,11.7,8,1,20.1,8,1,8.7,8,1
2024/2/16,-2.8,8,1,-10.0,8,1,17.0,8,1,6.2,8,1,13.7,8,1,4.3,8,1,11.7,8,1,5.8,8,1
2024/2/17,-2.8,8,1,-12.3,8,1,13.6,8,1,4.6,8,1,15.0,8,1,3.2,8,1,14.3,8,1,3.1,8,1
2024/2/18,6.0,8,1,-4.8,8,1,18.8,8,1,9.2,8,1,19.7,8,1,11.3,8,1,21.9,8,1,6.0,8,1
2024/2/19,14.1,8,1,-0.2,8,1,17.2,8,1,12.8,8,1,16.3,8,1,11.4,8,1,20.1,8,1,14.6,8,1
2024/2/20,10.0,8,1,-6.2,8,1,23.7,8,1,12.8,8,1,17.2,8,1,11.2,8,1,16.1,8,1,13.0,8,1
2024/2/21,-4.3,8,1,-7.1,8,1,13.2,8,1,7.3,8,1,12.0,8,1,8.4,8,1,14.2,8,1,11.5,8,1
2024/2/22,-4.6,8,1,-10.7,8,1,8.0,8,1,3.6,8,1,10.9,8,1,5.4,8,1,11.8,8,1,8.5,8,1
2024/2/23,-6.5,8,1,-13.6,8,1,4.0,8,1,1.7,8,1,8.3,8,1,4.3,8,1,10.9,8,1,7.0,8,1
2024/2/24,-5.9,8,1,-14.6,8,1,10.3,8,1,1.2,8,1,11.5,8,1,4.4,8,1,11.6,8,1,6.3,8,1
2024/2/25,-5.3,8,1,-9.4,8,1,5.8,8,1,3.5,8,1,8.0,8,1,4.2,8,1,14.4,8,1,6.6,8,1
2024/2/26,-3.0,8,1,-8.8,8,1,13.3,8,1,4.8,8,1,11.0,8,1,4.6,8,1,11.3,8,1,7.5,8,1
2024/2/27,-2.4,8,1,-5.8,8,1,11.4,8,1,4.1,8,1,10.5,8,1,4.1,8,1,10.4,8,1,6.0,8,1
2024/2/28,-5.7,8,1,-9.4,8,1,14.4,8,1,4.1,8,1,13.8,8,1,5.8,8,1,12.2,8,1,3.7,8,1
2024/2/29,-2.0,8,1,-10.0,8,1,11.8,8,1,3.5,8,1,10.8,8,1,4.6,8,1,9.9,8,1,7.3,8,1
2024/3/1,0.7,8,1,-10.9,8,1,16.4,8,1,3.7,8,1,13.3,8,1,4.7,8,1,11.2,8,1,6.2,8,1
2024/3/2,-0.9,8,1,-6.5,8,1,10.1,8,1,3.9,8,1,8.1,8,1,1.8,8,1,7.1,8,1,2.0,8,1
2024/3/3,-0.8,8,1,-6.0,8,1,13.4,8,1,1.2,8,1,10.4,8,1,0.7,8,1,11.4,8,1,1.2,8,1
2024/3/4,-0.4,8,1,-10.5,8,1,15.7,8,1,2.9,8,1,13.8,8,1,5.8,8,1,15.2,8,1,5.3,8,1
2024/3/5,-1.5,8,1,-9.8,8,1,9.1,8,1,2.0,8,1,8.6,8,1,5.7,8,1,11.9,8,1,8.5,8,1
2024/3/6,0.4,8,1,-10.4,8,1,10.4,8,1,2.0,8,1,9.9,8,1,7.1,8,1,12.6,8,1,9.7,8,1
2024/3/7,-1.5,8,1,-8.7,8,1,10.7,8,1,4.9,8,1,11.3,8,1,6.2,8,1,13.6,8,1,7.5,8,1
2024/3/8,-1.9,8,1,-9.5,8,1,9.4,8,1,0.4,8,1,12.0,8,1,4.9,8,1,12.0,8,1,8.2,8,1
2024/3/9,-1.8,8,1,-10.3,8,1,11.2,8,1,2.6,8,1,9.0,8,1,3.2,8,1,11.0,8,1,6.2,8,1
2024/3/10,0.1,8,1,-8.1,8,1,13.6,8,1,0.5,8,1,10.9,8,1,2.7,8,1,13.3,8,1,3.9,8,1
2024/3/11,4.0,8,1,-5.3,8,1,13.8,8,1,1.8,8,1,14.8,8,1,1.8,8,1,15.9,8,1,4.8,8,1
2024/3/12,3.8,8,1,-2.4,8,1,10.0,8,1,6.1,8,1,10.7,8,1,7.6,8,1,15.5,8,1,7.8,8,1
2024/3/13,-1.2,8,1,-5.2,8,1,13.7,8,1,6.7,8,1,12.4,8,1,5.7,8,1,14.9,8,1,7.3,8,1
2024/3/14,0.1,8,1,-7.1,8,1,15.6,8,1,2.8,8,1,14.6,8,1,3.0,8,1,16.0,8,1,8.0,8,1
2024/3/15,3.2,8,1,-6.2,8,1,17.6,8,1,6.2,8,1,17.0,8,1,5.9,8,1,18.7,8,1,6.6,8,1
2024/3/16,2.7,8,1,-3.6,8,1,22.7,8,1,10.8,8,1,19.6,8,1,6.8,8,1,19.1,8,1,7.2,8,1
2024/3/17,4.2,8,1,-3.7,8,1,21.7,8,1,9.8,8,1,16.5,8,1,10.1,8,1,15.1,8,1,11.6,8,1
2024/3/18,0.3,8,1,-4.8,8,1,14.6,8,1,4.1,8,1,12.2,8,1,4.9,8,1,14.7,8,1,10.2,8,1
2024/3/19,0.0,8,1,-4.0,8,1,12.4,8,1,3.7,8,1,11.8,8,1,3.9,8,1,15.7,8,1,9.2,8,1
2024/3/20,-0.4,8,1,-5.1,8,1,15.7,8,1,4.7,8,1,11.4,8,1,2.8,8,1,12.1,8,1,8.0,8,1
2024/3/21,-0.2,8,1,-3.7,8,1,11.4,8,1,3.4,8,1,8.8,8,1,1.6,8,1,13.4,8,1,5.9,8,1
2024/3/22,0.4,8,1,-4.9,8,1,13.3,8,1,1.8,8,1,12.3,8,1,1.8,8,1,18.1,8,1,4.4,8,1
2024/3/23,5.5,8,1,-6.7,8,1,9.3,8,1,2.6,8,1,9.6,8,1,5.2,8,1,20.8,8,1,15.4,8,1
2024/3/24,8.2,8,1,-4.0,8,1,15.5,8,1,4.2,8,1,12.1,8,1,8.2,8,1,16.3,8,1,13.9,8,1
2024/3/25,5.7,5,1,-3.6,5,1,12.5,8,1,10.8,8,1,13.7,8,1,10.1,8,1,14.3,8,1,12.3,8,1
2024/3/26,3.7,8,1,-4.1,8,1,12.3,8,1,6.1,8,1,13.5,8,1,7.7,8,1,13.1,8,1,9.9,8,1
2024/3/27,3.4,8,1,-3.8,8,1,16.5,8,1,6.0,8,1,16.5,8,1,6.9,8,1,16.5,8,1,9.5,8,1
2024/3/28,5.4,8,1,-4.9,8,1,14.6,8,1,7.2,8,1,19.1,8,1,6.3,8,1,16.4,8,1,12.0,8,1
2024/3/29,9.1,8,1,2.1,8,1,22.2,8,1,11.7,8,1,21.1,8,1,12.5,8,1,23.5,8,1,13.2,8,1
2024/3/30,12.1,8,1,2.6,8,1,24.6,8,1,12.3,8,1,21.6,8,1,14.1,8,1,23.0,8,1,14.7,8,1
2024/3/31,6.2,8,1,-0.1,8,1,28.1,8,1,12.2,8,1,23.0,8,1,15.0,8,1,19.7,8,1,15.3,8,1
2024/4/1,8.8,8,1,-0.6,8,1,19.7,8,1,11.8,8,1,21.4,8,1,11.9,8,1,21.0,8,1,14.8,8,1
2024/4/2,6.2,8,1,-0.9,8,1,20.6,8,1,8.4,8,1,20.2,8,1,9.7,8,1,25.8,8,1,13.3,8,1
2024/4/3,11.0,8,1,0.7,8,1,16.6,8,1,12.3,8,1,15.9,8,1,13.2,8,1,21.3,8,1,13.7,8,1
2024/4/4,4.7,8,1,-0.5,8,1,19.9,8,1,11.3,8,1,19.3,8,1,11.8,8,1,16.8,8,1,14.2,8,1
2024/4/5,11.4,8,1,-0.7,8,1,15.1,8,1,9.0,8,1,19.1,8,1,11.1,8,1,19.2,8,1,12.9,8,1
2024/4/6,16.3,8,1,4.5,8,1,15.8,8,1,9.0,8,1,22.1,8,1,11.7,8,1,21.3,8,1,11.9,8,1
2024/4/7,16.7,8,1,5.5,8,1,22.6,8,1,13.1,8,1,24.3,8,1,14.4,8,1,21.7,8,1,14.8,8,1
2024/4/8,21.3,8,1,5.0,8,1,23.2,8,1,15.4,8,1,21.8,8,1,16.3,8,1,18.3,8,1,13.1,8,1
2024/4/9,14.0,8,1,-1.8,8,1,19.8,8,1,9.7,8,1,16.6,8,1,8.9,8,1,17.6,8,1,11.4,8,1
2024/4/10,10.0,8,1,-0.5,8,1,17.8,8,1,7.4,8,1,18.9,8,1,6.9,8,1,19.8,8,1,8.3,8,1
2024/4/11,13.8,8,1,0.8,8,1,19.8,8,1,7.7,8,1,21.7,8,1,11.2,8,1,20.2,8,1,12.2,8,1
2024/4/12,16.0,8,1,8.4,8,1,18.2,8,1,12.8,8,1,25.0,8,1,13.0,8,1,23.0,8,1,14.4,8,1
2024/4/13,17.8,8,1,6.4,8,1,22.7,8,1,11.1,8,1,25.6,8,1,13.3,8,1,23.6,8,1,15.5,8,1
2024/4/14,17.1,8,1,6.0,8,1,24.8,8,1,12.7,8,1,24.3,8,1,13.7,8,1,27.4,8,1,15.5,8,1
2024/4/15,16.3,8,1,3.8,8,1,26.8,8,1,14.0,8,1,23.3,8,1,15.2,8,1,20.8,8,1,16.5,8,1
